"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2021","Medium","39835.428"
"Afghanistan","2021","High","39892.559"
"Afghanistan","2021","Low","39809.115"
"Afghanistan","2021","Constant fertility","39960.177"
"Afghanistan","2021","Instant replacement","39506.645"
"Afghanistan","2021","Zero migration","39907.902"
"Afghanistan","2021","Constant mortality","39833.821"
"Afghanistan","2021","No change","39943.185"
"Afghanistan","2021","Momentum","39540.689"
"Afghanistan","2020","Medium","38928.346"
"Afghanistan","2020","High","38928.346"
"Afghanistan","2020","Low","38928.346"
"Afghanistan","2020","Constant fertility","38928.346"
"Afghanistan","2020","Instant replacement","38928.346"
"Afghanistan","2020","Zero migration","38928.346"
"Afghanistan","2020","Constant mortality","38928.346"
"Afghanistan","2020","No change","38928.346"
"Afghanistan","2020","Momentum","38928.346"
"Africa","2021","Medium","1373486.524"
"Africa","2021","High","1374896.987"
"Africa","2021","Low","1371847.991"
"Africa","2021","Constant fertility","1375228.271"
"Africa","2021","Instant replacement","1360776.333"
"Africa","2021","Zero migration","1373981.027"
"Africa","2021","Constant mortality","1372808.128"
"Africa","2021","No change","1374661.387"
"Africa","2021","Momentum","1360921.254"
"Africa","2020","Medium","1340598.147"
"Africa","2020","High","1340598.147"
"Africa","2020","Low","1340598.147"
"Africa","2020","Constant fertility","1340598.147"
"Africa","2020","Instant replacement","1340598.147"
"Africa","2020","Zero migration","1340598.147"
"Africa","2020","Constant mortality","1340598.147"
"Africa","2020","No change","1340598.147"
"Africa","2020","Momentum","1340598.147"
"Albania","2021","Medium","2872.933"
"Albania","2021","High","2874.935"
"Albania","2021","Low","2867.904"
"Albania","2021","Constant fertility","2872.396"
"Albania","2021","Instant replacement","2880.518"
"Albania","2021","Zero migration","2887.084"
"Albania","2021","Constant mortality","2870.854"
"Albania","2021","No change","2871.807"
"Albania","2021","Momentum","2890.038"
"Albania","2020","Medium","2877.797"
"Albania","2020","High","2877.797"
"Albania","2020","Low","2877.797"
"Albania","2020","Constant fertility","2877.797"
"Albania","2020","Instant replacement","2877.797"
"Albania","2020","Zero migration","2877.797"
"Albania","2020","Constant mortality","2877.797"
"Albania","2020","No change","2877.797"
"Albania","2020","Momentum","2877.797"
"Algeria","2021","Medium","44616.624"
"Algeria","2021","High","44677.3"
"Algeria","2021","Low","44563.284"
"Algeria","2021","Constant fertility","44678.318"
"Algeria","2021","Instant replacement","44463.344"
"Algeria","2021","Zero migration","44630.676"
"Algeria","2021","Constant mortality","44611.752"
"Algeria","2021","No change","44669.559"
"Algeria","2021","Momentum","44464.64"
"Algeria","2020","Medium","43851.044"
"Algeria","2020","High","43851.044"
"Algeria","2020","Low","43851.044"
"Algeria","2020","Constant fertility","43851.044"
"Algeria","2020","Instant replacement","43851.044"
"Algeria","2020","Zero migration","43851.044"
"Algeria","2020","Constant mortality","43851.044"
"Algeria","2020","No change","43851.044"
"Algeria","2020","Momentum","43851.044"
"American Samoa","2021","Medium","55.1"
"American Samoa","2021","High","55.179"
"American Samoa","2021","Low","55.048"
"American Samoa","2021","Constant fertility","55.14"
"American Samoa","2021","Instant replacement","54.991"
"American Samoa","2021","Zero migration","55.969"
"American Samoa","2021","Constant mortality","55.104"
"American Samoa","2021","No change","55.133"
"American Samoa","2021","Momentum","55.541"
"American Samoa","2020","Medium","55.191"
"American Samoa","2020","High","55.191"
"American Samoa","2020","Low","55.191"
"American Samoa","2020","Constant fertility","55.191"
"American Samoa","2020","Instant replacement","55.191"
