name	value
Afghanistan	7281
Albania	2931
Algeria	5924
Andorra	130
Angola	1713
Antigua and Barbuda	102
Argentina	115989
Armenia	6379
Australia	1756
Austria	11369
Azerbaijan	7101
Bahamas	643
Bahrain	1393
Bangladesh	27870
Barbados	156
Belarus	4646
Belgium	25994
Belize	495
Benin	161
Bhutan	3
Bolivia	18928
Bosnia and Herzegovina	11607
Botswana	2407
Brazil	607922
Brunei	89
Bulgaria	24309
Burkina Faso	214
Burma	18714
Burundi	38
Cabo Verde	349
Cambodia	2794
Cameroon	1686
Canada	29077
Central African Republic	100
Chad	175
Chile	37777
China	4849
Colombia	127311
Comoros	147
Congo (Brazzaville)	278
Congo (Kinshasa)	1098
Costa Rica	7078
Cote d'Ivoire	696
Croatia	9251
Cuba	8240
Cyprus	575
Czechia	30775
Denmark	2719
Diamond Princess	13
Djibouti	181
Dominica	32
Dominican Republic	4133
Ecuador	32958
Egypt	18711
El Salvador	3638
Equatorial Guinea	167
Eritrea	45
Estonia	1540
Eswatini	1242
Ethiopia	6467
Fiji	674
Finland	1170
France	118632
Gabon	239
Gambia	340
Georgia	10089
Germany	95838
Ghana	1175
Greece	15990
Grenada	198
Guatemala	15137
Guinea	385
Guinea-Bissau	141
Guyana	925
Haiti	671
Holy See	0
Honduras	10239
Hungary	30881
Iceland	33
India	458880
Indonesia	143423
Iran	126456
Iraq	23196
Ireland	5436
Israel	8103
Italy	132120
Jamaica	2243
Japan	18271
Jordan	11052
Kazakhstan	17150
Kenya	5281
Kiribati	0
Korea, South	2874
Kosovo	2977
Kuwait	2462
Kyrgyzstan	2672
Laos	67
Latvia	3269
Lebanon	8509
Lesotho	658
Liberia	287
Libya	5122
Liechtenstein	61
Lithuania	5913
Luxembourg	843
MS Zaandam	2
Madagascar	963
Malawi	2302
Malaysia	28975
Maldives	243
Mali	565
Malta	461
Marshall Islands	0
Mauritania	797
Mauritius	176
Mexico	288365
Micronesia	0
Moldova	7828
Monaco	36
Mongolia	1755
Montenegro	2107
Morocco	14678
Mozambique	1931
Namibia	3554
Nepal	11416
Netherlands	18862
New Zealand	28
Nicaragua	208
Niger	213
Nigeria	2898
North Macedonia	7145
Norway	902
Oman	4111
Pakistan	28466
Palau	0
Panama	7315
Papua New Guinea	370
Paraguay	16249
Peru	200276
Philippines	43276
Poland	77012
Portugal	18162
Qatar	611
Romania	48073
Russia	235318
Rwanda	1332
Saint Kitts and Nevis	25
Saint Lucia	255
Saint Vincent and the Grenadines	68
Samoa	0
San Marino	92
Sao Tome and Principe	56
Saudi Arabia	8796
Senegal	1878
Serbia	10018
Seychelles	119
Sierra Leone	121
Singapore	421
Slovakia	13045
Slovenia	4756
Solomon Islands	0
Somalia	1208
South Africa	89179
South Sudan	133
Spain	87368
Sri Lanka	13760
Sudan	3099
Summer Olympics 2020	0
Suriname	1092
Sweden	15025
Switzerland	11242
Syria	2574
Taiwan*	847
Tajikistan	125
Tanzania	725
Thailand	19260
Timor-Leste	122
Togo	242
Tonga	0
Trinidad and Tobago	1709
Tunisia	25244
Turkey	70828
United States	747597
Uganda	3215
Ukraine	72402
United Arab Emirates	2136
United Kingdom	141098
Uruguay	6080
Uzbekistan	1325
Vanuatu	1
Venezuela	4902
Vietnam	22131
West Bank and Gaza	4681
Yemen	1890
Zambia	3661
Zimbabwe	4679
