,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,population,people_not_vaccinated,vaccinated_rate,not_vaccinated_rate
619,Afghanistan,2021-11-04,5852810,3097293,2755517,39835428,36738135,7.775222096,92.2247779
1270,Africa,2021-11-14,210161204,131007094,87970587,1373486472,1242479378,9.538287902,90.4617121
1899,Albania,2021-11-14,2000104,1047822,924194,2872934,1825112,36.47219184,63.52780816
2522,Algeria,2021-11-08,11316115,6418827,4897288,44616626,38197799,14.38662574,85.61337426
3137,Andorra,2021-10-31,104534,54999,49535,77354,22355,71.10039558,28.89960442
3749,Angola,2021-11-07,7246966,5269623,1977343,33933611,28663988,15.52921379,84.47078621
4038,Anguilla,2021-11-12,18782,9624,9158,15125,5501,63.62975207,36.37024793
4644,Antigua and Barbuda,2021-11-08,111186,58497,52689,98728,40231,59.2506685,40.7493315
5334,Argentina,2021-11-14,63017438,35801814,27340092,45605823,9804009,78.50272541,21.49727459
5944,Armenia,2021-10-31,831856,579360,252496,2968128,2388768,19.51937383,80.48062617
6187,Aruba,2021-11-12,160561,83183,77378,107195,24012,77.59970148,22.40029852
6850,Asia,2021-11-14,5087182316,2811285295,2120948083,4678444992,1867159697,60.09016457,39.90983543
7509,Australia,2021-11-14,37695740,19563025,17872077,25788217,6225192,75.86032412,24.13967588
8138,Austria,2021-11-14,12251544,6114535,5739023,9043072,2928537,67.61568414,32.38431586
8762,Azerbaijan,2021-11-14,10092423,5022350,4480614,10223344,5200994,49.12629371,50.87370629
9362,Bahamas,2021-11-05,263795,143726,128242,396914,253188,36.21086684,63.78913316
10001,Bahrain,2021-11-14,2827533,1183775,1148496,1748295,564520,67.71025485,32.28974515
10623,Bangladesh,2021-11-14,84319490,51510392,32809098,166303494,114793102,30.97372807,69.02627193
11230,Barbados,2021-11-13,283918,151634,132284,287708,136074,52.70413058,47.29586942
11850,Belarus,2021-11-07,5409635,3111709,2297926,9442867,6331158,32.95301099,67.04698901
12504,Belgium,2021-11-11,16960399,8757699,8613555,11632334,2874635,75.28754762,24.71245238
13100,Belize,2021-11-05,391846,225088,202333,404915,179827,55.58895077,44.41104923
13712,Benin,2021-11-08,347270,304596,265501,12451031,12146435,2.446351631,97.55364837
14018,Bermuda,2021-11-05,101341,48464,47365,62092,13628,78.05192295,21.94807705
14623,Bhutan,2021-10-31,1148146,588307,559839,779900,191593,75.43364534,24.56635466
15248,Bolivia,2021-11-11,8041447,4688731,3948592,11832936,7144205,39.62440936,60.37559064
15397,Bonaire Sint Eustatius and Saba,2021-09-01,35845,19109,16736,26445,7336,72.25940631,27.74059369
16007,Bosnia and Herzegovina,2021-11-04,1553874,833233,720641,3263459,2430226,25.53220371,74.46779629
16608,Botswana,2021-11-10,1128095,770879,357216,2397240,1626361,32.15693881,67.84306119
17240,Brazil,2021-11-14,296865258,162313446,127854186,213993441,51679995,75.84972943,24.15027057
17409,British Virgin Islands,2021-11-05,34377,18041,16336,30423,12382,59.3005292,40.6994708
18025,Brunei,2021-11-14,680757,381106,299651,441532,60426,86.31446871,13.68553129
18553,Bulgaria,2021-08-17,2176168,1089066,1087102,6896655,5807589,15.79122053,84.20877947
19247,Burkina Faso,2021-11-04,661796,364565,297231,21497097,21132532,1.695880146,98.30411985
19847,Burundi,2021-11-10,1085,938,147,12255429,12254491,0.00765375084,99.99234625
20509,Cambodia,2021-11-14,28231176,14051925,13203848,16946446,2894521,82.9195986,17.0804014
21125,Cameroon,2021-11-11,510324,424269,169300,27224262,26799993,1.55842241,98.44157759
21787,Canada,2021-11-14,59539750,30050442,28670105,38067913,8017471,78.93903193,21.06096807
22388,Cape Verde,2021-11-10,526891,295571,231320,561901,266330,52.60197081,47.39802919
22707,Cayman Islands,2021-11-05,116507,56887,54690,66498,9611,85.54693374,14.45306626
23310,Central African Republic,2021-11-07,422372,362174,321858,4919987,4557813,7.361279613,92.63872039
23916,Chad,2021-11-07,234030,170210,63820,16914985,16744775,1.00626752,98.99373248
24552,Chile,2021-11-12,39036594,16694916,15712884,19212362,2517446,86.89673867,13.10326133
25215,China,2021-11-12,2372713000,1185237000,1073845000,1444216102,258979102,82.06784278,17.93215722
25833,Colombia,2021-11-11,50914404,32722820,22626221,51265841,18543021,63.82967559,36.17032441
26389,Comoros,2021-11-03,452612,273498,179114,888456,614958,30.78351657,69.21648343
27006,Congo,2021-11-10,549254,423819,125435,5657017,5233198,7.491916676,92.50808332
27178,Cook Islands,2021-11-08,24326,12600,11726,17572,4972,71.7049852,28.2950148
