Level,Category,World,Arab States,Central and Eastern Europe,Central Asia,East Asia and the Pacific,Latin America and the Caribbean,North America and Western Europe,South and West Asia
lower_secondary,all,343347551.6,21643177.58,20249843.15,7506465.729,92627729.1,37607165.66,32734379.17,89473294.05
lower_secondary,female,165335307.9,10207730.6,9881411.328,3625627.179,44101669.3,18642953.92,15879160.37,43420919.66
lower_secondary,male,178012243.7,11435446.98,10368431.83,3880838.551,48526059.8,18964211.74,16855218.8,46052374.39
preprimary,all,214044545.4,6225699.218,13370239.15,3165273.948,69324740.41,21601698.02,21667048.64,57441569.42
preprimary,female,102664816.4,3031568.45,6451769.935,1519605.185,32759544.43,10650875.11,10491357.63,27307904.97
preprimary,male,111379729.1,3194130.768,6918469.212,1645668.763,36565195.97,10950822.92,11175691.02,30133664.45
uppersecondary,all,269812146.7,13013755.52,13524720.13,3022549.969,67958373.6,25851461.84,32237001.13,90469802.68
uppersecondary,female,128669107.6,6400496.894,6433177.991,1449454.345,32663343.33,13258450.96,15694141.15,41918462.27
uppersecondary,male,141143039.1,6613258.626,7091542.142,1573095.624,35295030.26,12593010.88,16542859.98,48551340.41
tertiary,all,235291465.8,11915455.02,19318409.31,2386931.027,78676321.74,28875949.4,38500134.59,46919718.89
tertiary,female,122186759.7,6117077.233,9945671.844,1211419.012,40514338.01,16259426.63,21304438.05,23050844.42
tertiary,male,113104706.1,5798377.785,9372737.464,1175512.015,38161983.73,12616522.77,17195696.54,23868874.47
secondary,all,613159698.3,34656933.1,33184213.29,10529015.7,160586894.7,63458627.5,64971380.3,179943096.7
secondary,female,294004415.5,16608227.5,16025530.32,5075081.524,76765413.63,31901404.87,31573301.52,85339381.93
secondary,male,319155282.8,18048705.6,17158682.97,5453934.175,83821481.06,31557222.62,33398078.78,94603714.81
